"","year","site","species","n","bm_s","bm_se","den_s","den_se","l_n","l_s","l_se"
"69","2019","Oil Slick Leap","Acanthurus coeruleus",11,123.620454545455,60.0225390259001,1.06060606060606,0.606060606060606,5,15.65,0.835164654424503
"70","2019","Oil Slick Leap","Scarus iserti",11,16.2515151515152,16.2165460543251,0.303030303030303,0.232268329041756,2,8.83333333333333,5.83333333333333
"71","2019","Oil Slick Leap","Scarus taeniopterus",11,439.817424242424,107.453893903236,3.63636363636364,0.879571228709091,9,16.7353535353535,1.71320255771906
"72","2019","Oil Slick Leap","Scarus vetula",11,702.47196969697,169.142944340856,2.34848484848485,0.839508798617883,9,26.2592592592593,1.82956496361956
"73","2019","Oil Slick Leap","Sparisoma aurofrenatum",11,58.6522727272727,26.7911323074782,0.909090909090909,0.262431940540739,7,11.5238095238095,2.10266540706289
"74","2019","Oil Slick Leap","Sparisoma viride",11,759.303787878788,151.594584187578,2.12121212121212,0.425862706744097,10,22.92,1.81229817948317
"75","2019","Oil Slick Leap","Sparsisoma rubiprinne",11,35.8393939393939,35.8393939393939,0.0757575757575758,0.0757575757575758,1,29,NA
"76","2019","Karpata","Acanthurus bahianus",12,768.666666666667,755.875123014352,2.63888888888889,2.48910363882334,3,18.3333333333333,2.96273147243853
"77","2019","Karpata","Acanthurus coeruleus",12,196.298611111111,82.815354028282,1.18055555555556,0.416140239840328,7,15.3928571428571,1.20497127862573
"78","2019","Karpata","Scarus iserti",12,25.8333333333333,19.9427552761661,2.36111111111111,1.00939053296329,5,5.03333333333333,0.773968848066754
"79","2019","Karpata","Scarus taeniopterus",12,707.498611111111,262.383862427648,6.59722222222222,1.50566527424577,12,16.2238005050505,2.49670447853642
"80","2019","Karpata","Scarus vetula",12,1149.49513888889,205.266726446769,2.84722222222222,0.486111111111111,12,27.4444444444444,1.41954923164799
"81","2019","Karpata","Sparisoma aurofrenatum",12,133.634027777778,33.9919524736935,1.45833333333333,0.385514763655859,8,14.5958333333333,1.08683385910708
"82","2019","Karpata","Sparisoma chrysopterum",12,47.7361111111111,35.7018146598406,0.138888888888889,0.0936388697865614,2,25,5
"83","2019","Karpata","Sparisoma viride",12,1151.93680555556,161.483151117907,3.05555555555556,0.495490325008803,12,24.7240079365079,1.63000221051223
"84","2019","No Dive Reserve","Acanthurus coeruleus",10,223.6375,54.2449844391678,1.41666666666667,0.352460487234709,8,16.625,0.538912411530471
"85","2019","No Dive Reserve","Scarus iserti",10,1.0475,0.712922010608367,0.5,0.333333333333333,3,5.16666666666667,1.42400062421959
"86","2019","No Dive Reserve","Scarus taeniopterus",10,865.096666666667,226.203166604932,9.41666666666667,1.84696113443103,10,14.9042857142857,2.92614692516702
"87","2019","No Dive Reserve","Scarus vetula",10,244.063333333333,107.696141807333,1.25,0.530693699292855,6,20.5,5.28992753573556
"88","2019","No Dive Reserve","Sparisoma aurofrenatum",10,92.5216666666667,27.9994742895974,1,0.346944333244355,6,15.5416666666667,1.9773895530331
"89","2019","No Dive Reserve","Sparisoma chrysopterum",10,51.3875,51.3875,0.0833333333333333,0.0833333333333333,1,33,NA
"90","2019","No Dive Reserve","Sparisoma viride",10,1055.05083333333,172.859813172275,4.41666666666667,0.73545568304854,10,19.4465476190476,1.39137127875214
